parameter,value,units,category,impact,source
- **Initial resources:** New games start with `$45` cash and `14` hours of available time (also the base daily time cap).,45,usd,time,linear,docs/archive/economy/economy.md:L7
- **Initial resources:** New games start with `$45` cash and `14` hours of available time (also the base daily time cap).,14,hours,time,linear,docs/archive/economy/economy.md:L7
- **Money mutations:** All cash additions clamp to ≥0 and emit `moneyChanged` events. Spending also clamps the balance to ≥0.,0,,limit,cap,docs/archive/economy/economy.md:L10
- **Money mutations:** All cash additions clamp to ≥0 and emit `moneyChanged` events. Spending also clamps the balance to ≥0.,0,,other,cap,docs/archive/economy/economy.md:L10
"- **Daily maintenance buffer:** Study scheduling keeps at least `max(2, round(DEFAULT_DAY_HOURS * 0.25))` hours free for manual tasks; with the default 14-hour day this buffer is `4` hours.",2,,time,cap,docs/archive/economy/economy.md:L11
"- **Daily maintenance buffer:** Study scheduling keeps at least `max(2, round(DEFAULT_DAY_HOURS * 0.25))` hours free for manual tasks; with the default 14-hour day this buffer is `4` hours.",0.25,,time,cap,docs/archive/economy/economy.md:L11
"- **Daily maintenance buffer:** Study scheduling keeps at least `max(2, round(DEFAULT_DAY_HOURS * 0.25))` hours free for manual tasks; with the default 14-hour day this buffer is `4` hours.",14,,time,linear,docs/archive/economy/economy.md:L11
"- **Daily maintenance buffer:** Study scheduling keeps at least `max(2, round(DEFAULT_DAY_HOURS * 0.25))` hours free for manual tasks; with the default 14-hour day this buffer is `4` hours.",4,hours,time,linear,docs/archive/economy/economy.md:L11
"- Manual maintenance reserve deducts available assistant hours (each adds `ASSISTANT_CONFIG.hoursPerAssistant = 3h`) before predicting remaining human time needed, ensuring study doesn’t steal hours required for upkeep.",3,,other,linear,docs/archive/economy/economy.md:L20
"- **Skill levels:** XP thresholds per level: 0 (Novice), 100 (Apprentice), 300 (Specialist), 700 (Expert), 1200 (Master).",0,xp,xp,linear,docs/archive/economy/economy.md:L25
"- **Skill levels:** XP thresholds per level: 0 (Novice), 100 (Apprentice), 300 (Specialist), 700 (Expert), 1200 (Master).",100,xp,xp,linear,docs/archive/economy/economy.md:L25
"- **Skill levels:** XP thresholds per level: 0 (Novice), 100 (Apprentice), 300 (Specialist), 700 (Expert), 1200 (Master).",300,,progression,linear,docs/archive/economy/economy.md:L25
"- **Skill levels:** XP thresholds per level: 0 (Novice), 100 (Apprentice), 300 (Specialist), 700 (Expert), 1200 (Master).",700,,other,linear,docs/archive/economy/economy.md:L25
"- **Skill levels:** XP thresholds per level: 0 (Novice), 100 (Apprentice), 300 (Specialist), 700 (Expert), 1200 (Master).",1200,xp,xp,linear,docs/archive/economy/economy.md:L25
"- **Character levels:** Overall XP thresholds: 0, 300, 750, 1400, 2200 for levels 1–5.",0,xp,xp,linear,docs/archive/economy/economy.md:L26
"- **Character levels:** Overall XP thresholds: 0, 300, 750, 1400, 2200 for levels 1–5.",300,xp,xp,linear,docs/archive/economy/economy.md:L26
